HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Brazil,France,1986,1,1,2
Italy,France,1986,0,2,2
Morocco,West Germany,1986,0,1,1
England,Paraguay,1986,3,0,3
Denmark,Spain,1986,1,5,6
West Germany,Mexico,1986,0,0,0
Argentina,England,1986,2,1,3
Spain,Belgium,1986,1,1,2
France,West Germany,1986,0,2,2
Argentina,Belgium,1986,2,0,2
West Germany,Scotland,1986,2,1,3
Argentina,West Germany,1986,3,2,5
Argentina,Uruguay,1986,1,0,1
Belgium,France,1986,2,4,6
Scotland,Denmark,1986,0,1,1
Algeria,Spain,1986,0,3,3
Uruguay,West Germany,1986,1,1,2
Bulgaria,Italy,1986,1,1,2
Argentina,South Korea,1986,3,1,4
Italy,Argentina,1986,1,1,2
South Korea,Bulgaria,1986,1,1,2
South Korea,Italy,1986,2,3,5
Argentina,Bulgaria,1986,2,0,2
Paraguay,Iraq,1986,1,0,1
Mexico,Paraguay,1986,1,1,2
Iraq,Belgium,1986,1,2,3
Paraguay,Belgium,1986,2,2,4
Belgium,Mexico,1986,1,2,3
Canada,France,1986,0,1,1
Iraq,Mexico,1986,0,1,1
Northern Ireland,Spain,1986,1,2,3
Brazil,Algeria,1986,1,0,1
Algeria,Northern Ireland,1986,1,1,2
Spain,Brazil,1986,0,1,1
Northern Ireland,Brazil,1986,0,3,3
Hungary,France,1986,0,3,3
Hungary,Canada,1986,2,0,2
France,Soviet Union,1986,1,1,2
Soviet Union,Hungary,1986,6,0,6
Soviet Union,Canada,1986,2,0,2
Brazil,Argentina,1990,0,1,1
Belgium,Spain,1990,1,2,3
South Korea,Uruguay,1990,0,1,1
England,Republic of Ireland,1990,1,1,2
Netherlands,Egypt,1990,1,1,2
England,Netherlands,1990,0,0,0
Republic of Ireland,Egypt,1990,0,0,0
England,Egypt,1990,1,0,1
Republic of Ireland,Netherlands,1990,1,1,2
Cameroon,Colombia,1990,2,1,3
West Germany,Netherlands,1990,2,1,3
South Korea,Spain,1990,1,3,4
Italy,Uruguay,1990,2,0,2
Spain,Yugoslavia,1990,1,2,3
England,Belgium,1990,1,0,1
Argentina,Yugoslavia,1990,0,0,0
Republic of Ireland,Italy,1990,0,1,1
Czechoslovakia,West Germany,1990,0,1,1
Cameroon,England,1990,2,3,5
Argentina,Italy,1990,1,1,2
West Germany,England,1990,1,1,2
Italy,England,1990,2,1,3
West Germany,Argentina,1990,1,0,1
Republic of Ireland,Romania,1990,0,0,0
Belgium,Uruguay,1990,3,1,4
Czechoslovakia,Costa Rica,1990,4,1,5
Belgium,South Korea,1990,2,0,2
United States,Czechoslovakia,1990,1,5,6
Italy,United States,1990,1,0,1
Austria,Czechoslovakia,1990,0,1,1
Italy,Czechoslovakia,1990,2,0,2
Austria,United States,1990,2,1,3
Argentina,Cameroon,1990,0,1,1
Soviet Union,Romania,1990,0,2,2
Argentina,Soviet Union,1990,2,0,2
Cameroon,Romania,1990,2,1,3
Argentina,Romania,1990,1,1,2
Cameroon,Soviet Union,1990,0,4,4
Brazil,Sweden,1990,2,1,3
Italy,Austria,1990,1,0,1
Uruguay,Spain,1990,0,0,0
Brazil,Costa Rica,1990,1,0,1
Sweden,Scotland,1990,1,2,3
Brazil,Scotland,1990,1,0,1
Sweden,Costa Rica,1990,1,2,3
United Arab Emirates,Colombia,1990,0,2,2
West Germany,Yugoslavia,1990,4,1,5
Yugoslavia,Colombia,1990,1,0,1
West Germany,United Arab Emirates,1990,5,1,6
West Germany,Colombia,1990,1,1,2
Yugoslavia,United Arab Emirates,1990,4,1,5
Costa Rica,Scotland,1990,1,0,1
Spain,Switzerland,1994,3,0,3
Germany,Belgium,1994,3,2,5
Morocco,Netherlands,1994,1,2,3
Belgium,Saudi Arabia,1994,0,1,1
Republic of Ireland,Norway,1994,0,0,0
Belgium,Netherlands,1994,1,0,1
Netherlands,Saudi Arabia,1994,2,1,3
Belgium,Morocco,1994,1,0,1
Saudi Arabia,Sweden,1994,1,3,4
Saudi Arabia,Morocco,1994,2,1,3
Romania,Argentina,1994,3,2,5
Netherlands,Brazil,1994,2,3,5
Brazil,United States,1994,1,0,1
Nigeria,Italy,1994,1,2,3
Mexico,Bulgaria,1994,1,1,2
Italy,Spain,1994,2,1,3
Bulgaria,Germany,1994,2,1,3
Romania,Sweden,1994,2,2,4
Bulgaria,Italy,1994,1,2,3
Sweden,Brazil,1994,0,1,1
Sweden,Bulgaria,1994,4,0,4
Brazil,Italy,1994,0,0,0
Mexico,Republic of Ireland,1994,2,1,3
Netherlands,Republic of Ireland,1994,2,0,2
Italy,Norway,1994,1,0,1
Italy,Mexico,1994,1,1,2
Italy,Republic of Ireland,1994,0,1,1
Norway,Mexico,1994,1,0,1
United States,Switzerland,1994,1,1,2
Colombia,Romania,1994,1,3,4
Romania,Switzerland,1994,1,4,5
United States,Colombia,1994,2,1,3
Switzerland,Colombia,1994,0,2,2
United States,Romania,1994,0,1,1
Brazil,Russia,1994,2,0,2
Brazil,Cameroon,1994,3,0,3
Sweden,Russia,1994,3,1,4
Russia,Cameroon,1994,6,1,7
Brazil,Sweden,1994,1,1,2
Cameroon,Sweden,1994,2,2,4
Spain,South Korea,1994,2,2,4
Greece,Nigeria,1994,0,2,2
Germany,Bolivia,1994,1,0,1
Argentina,Bulgaria,1994,0,2,2
Bulgaria,Greece,1994,4,0,4
Nigeria,Bulgaria,1994,3,0,3
Argentina,Nigeria,1994,2,1,3
Germany,South Korea,1994,3,2,5
Bolivia,Spain,1994,1,3,4
South Korea,Bolivia,1994,0,0,0
Germany,Spain,1994,1,1,2
Argentina,Greece,1994,4,0,4
Argentina,Croatia,1998,1,0,1
Argentina,Japan,1998,1,0,1
Argentina,Jamaica,1998,5,0,5
Japan,Croatia,1998,0,1,1
Jamaica,Croatia,1998,1,3,4
Romania,Tunisia,1998,1,1,2
United States,FR Yugoslavia,1998,0,1,1
Colombia,Tunisia,1998,1,0,1
Romania,Colombia,1998,1,0,1
England,Tunisia,1998,2,0,2
Germany,Iran,1998,2,0,2
Japan,Jamaica,1998,1,2,3
Romania,England,1998,2,1,3
Italy,Norway,1998,1,0,1
France,Croatia,1998,2,1,3
France,Paraguay,1998,1,0,1
Nigeria,Denmark,1998,1,4,5
Germany,Mexico,1998,2,1,3
Netherlands,FR Yugoslavia,1998,2,1,3
Romania,Croatia,1998,0,1,1
Argentina,England,1998,2,2,4
Italy,France,1998,0,0,0
Brazil,Denmark,1998,3,2,5
Netherlands,Argentina,1998,2,1,3
Germany,Croatia,1998,0,3,3
Brazil,Netherlands,1998,1,1,2
Netherlands,Croatia,1998,1,2,3
Brazil,France,1998,0,3,3
United States,Iran,1998,1,2,3
Brazil,Chile,1998,4,1,5
Germany,FR Yugoslavia,1998,2,2,4
Colombia,England,1998,0,2,2
FR Yugoslavia,Iran,1998,1,0,1
Morocco,Norway,1998,2,2,4
Scotland,Norway,1998,1,1,2
Brazil,Morocco,1998,3,0,3
Scotland,Morocco,1998,0,3,3
Brazil,Norway,1998,1,2,3
Italy,Chile,1998,2,2,4
Cameroon,Austria,1998,1,1,2
Chile,Austria,1998,1,1,2
Italy,Cameroon,1998,3,0,3
Italy,Austria,1998,2,1,3
Chile,Cameroon,1998,1,1,2
Saudi Arabia,Denmark,1998,0,1,1
France,South Africa,1998,3,0,3
South Africa,Denmark,1998,1,1,2
France,Saudi Arabia,1998,4,0,4
Brazil,Scotland,1998,2,1,3
South Africa,Saudi Arabia,1998,2,2,4
France,Denmark,1998,2,1,3
Belgium,South Korea,1998,1,1,2
Netherlands,Mexico,1998,2,2,4
Netherlands,South Korea,1998,5,0,5
Belgium,Mexico,1998,2,2,4
Netherlands,Belgium,1998,0,0,0
South Korea,Mexico,1998,1,3,4
Germany,United States,1998,2,0,2
Nigeria,Paraguay,1998,1,3,4
Spain,Paraguay,1998,0,0,0
Nigeria,Bulgaria,1998,1,0,1
Spain,Nigeria,1998,2,3,5
Spain,Bulgaria,1998,6,1,7
Paraguay,Bulgaria,1998,0,0,0
Germany,Brazil,2002,0,2,2
Japan,Russia,2002,1,0,1
Russia,Tunisia,2002,2,0,2
Japan,Belgium,2002,2,2,4
Ecuador,Croatia,2002,1,0,1
Mexico,Italy,2002,1,1,2
Italy,Croatia,2002,1,2,3
Tunisia,Belgium,2002,1,1,2
Italy,Ecuador,2002,2,0,2
Croatia,Mexico,2002,0,1,1
Nigeria,England,2002,0,0,0
Sweden,Argentina,2002,1,1,2
Argentina,England,2002,0,1,1
Mexico,Ecuador,2002,2,1,3
Tunisia,Japan,2002,0,2,2
Sweden,Senegal,2002,1,2,3
Germany,Paraguay,2002,1,0,1
Denmark,England,2002,0,3,3
Spain,Republic of Ireland,2002,1,1,2
Mexico,United States,2002,0,2,2
Brazil,Belgium,2002,2,0,2
South Korea,Italy,2002,2,1,3
England,Brazil,2002,1,2,3
Germany,United States,2002,1,0,1
Spain,South Korea,2002,0,0,0
Senegal,Turkey,2002,0,1,1
Germany,South Korea,2002,1,0,1
Brazil,Turkey,2002,1,0,1
South Korea,Turkey,2002,2,3,5
Sweden,Nigeria,2002,2,1,3
Belgium,Russia,2002,3,2,5
Japan,Turkey,2002,0,1,1
England,Sweden,2002,1,1,2
Saudi Arabia,Republic of Ireland,2002,0,3,3
Argentina,Nigeria,2002,1,0,1
France,Senegal,2002,0,1,1
Uruguay,Denmark,2002,1,2,3
Denmark,Senegal,2002,1,1,2
France,Uruguay,2002,0,0,0
Denmark,France,2002,2,0,2
Senegal,Uruguay,2002,3,3,6
Paraguay,South Africa,2002,2,2,4
Spain,Paraguay,2002,3,1,4
South Africa,Slovenia,2002,1,0,1
South Africa,Spain,2002,2,3,5
Slovenia,Paraguay,2002,1,3,4
Brazil,Turkey,2002,2,1,3
China,Costa Rica,2002,0,2,2
Spain,Slovenia,2002,3,1,4
Costa Rica,Turkey,2002,1,1,2
Cameroon,Germany,2002,0,2,2
Brazil,China,2002,4,0,4
Cameroon,Saudi Arabia,2002,1,0,1
Germany,Republic of Ireland,2002,1,1,2
Germany,Saudi Arabia,2002,8,0,8
Poland,United States,2002,3,1,4
Portugal,South Korea,2002,0,1,1
Republic of Ireland,Cameroon,2002,1,1,2
South Korea,United States,2002,1,1,2
United States,Portugal,2002,3,2,5
South Korea,Poland,2002,2,0,2
Turkey,China,2002,3,0,3
Costa Rica,Brazil,2002,2,5,7
Portugal,Poland,2002,4,0,4
Spain,Tunisia,2006,3,1,4
Switzerland,South Korea,2006,2,0,2
Saudi Arabia,Ukraine,2006,0,4,4
Tunisia,Saudi Arabia,2006,2,2,4
Spain,Ukraine,2006,4,0,4
Togo,France,2006,0,2,2
Japan,Brazil,2006,1,4,5
Italy,France,2006,1,1,2
France,South Korea,2006,1,1,2
France,Switzerland,2006,0,0,0
South Korea,Togo,2006,2,1,3
Croatia,Australia,2006,2,2,4
Saudi Arabia,Spain,2006,0,1,1
Togo,Switzerland,2006,0,2,2
Ukraine,Tunisia,2006,1,0,1
Germany,Portugal,2006,3,1,4
Argentina,Mexico,2006,2,1,3
England,Ecuador,2006,1,0,1
Portugal,Netherlands,2006,1,0,1
Italy,Australia,2006,1,0,1
Switzerland,Ukraine,2006,0,0,0
Brazil,Ghana,2006,3,0,3
Spain,France,2006,1,3,4
Germany,Argentina,2006,1,1,2
Italy,Ukraine,2006,3,0,3
England,Portugal,2006,0,0,0
Brazil,France,2006,0,1,1
Germany,Italy,2006,0,2,2
Portugal,France,2006,0,1,1
Brazil,Australia,2006,2,0,2
Germany,Sweden,2006,2,0,2
Japan,Croatia,2006,0,0,0
United States,Czech Republic,2006,0,3,3
Australia,Japan,2006,3,1,4
Germany,Costa Rica,2006,4,2,6
Poland,Ecuador,2006,0,2,2
Germany,Poland,2006,1,0,1
Ecuador,Costa Rica,2006,3,0,3
Ecuador,Germany,2006,0,3,3
Costa Rica,Poland,2006,1,2,3
England,Paraguay,2006,1,0,1
Trinidad and Tobago,Sweden,2006,0,0,0
England,Trinidad and Tobago,2006,2,0,2
Sweden,Paraguay,2006,1,0,1
Sweden,England,2006,2,2,4
Paraguay,Trinidad and Tobago,2006,2,0,2
Argentina,Ivory Coast,2006,2,1,3
Serbia and Montenegro,Netherlands,2006,0,1,1
Brazil,Croatia,2006,1,0,1
Netherlands,Ivory Coast,2006,2,1,3
Ghana,United States,2006,2,1,3
Czech Republic,Italy,2006,0,2,2
Italy,United States,2006,1,1,2
Czech Republic,Ghana,2006,0,2,2
Argentina,Serbia and Montenegro,2006,6,0,6
Iran,Angola,2006,1,1,2
Italy,Ghana,2006,2,0,2
Portugal,Iran,2006,2,0,2
Mexico,Angola,2006,0,0,0
Angola,Portugal,2006,0,1,1
Mexico,Iran,2006,3,1,4
Ivory Coast,Serbia and Montenegro,2006,3,2,5
Netherlands,Argentina,2006,0,0,0
Portugal,Mexico,2006,2,1,3
Chile,Spain,2010,1,2,3
Spain,Honduras,2010,2,0,2
Chile,Switzerland,2010,1,0,1
Spain,Switzerland,2010,0,1,1
Honduras,Chile,2010,0,1,1
Paraguay,New Zealand,2010,0,0,0
Portugal,Brazil,2010,0,0,0
Portugal,North Korea,2010,7,0,7
Brazil,Ivory Coast,2010,3,1,4
Brazil,North Korea,2010,2,1,3
Ivory Coast,Portugal,2010,0,0,0
Switzerland,Honduras,2010,0,0,0
North Korea,Ivory Coast,2010,0,3,3
Uruguay,South Korea,2010,2,1,3
Netherlands,Brazil,2010,2,1,3
Germany,England,2010,4,1,5
Argentina,Mexico,2010,3,1,4
Netherlands,Slovakia,2010,2,1,3
Brazil,Chile,2010,3,0,3
Paraguay,Japan,2010,0,0,0
